Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-03-28 17:16:28,2.58,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.79,1.06,0.39,0.38,CAUTION_WARNING,0.00,,21.00,14.70,504,0.06,64.8,1,0,0.00,0.00,0.00,0.79,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:30,3.59,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.34,0.38,CAUTION_WARNING,0.00,,14.60,14.80,504,1.00,66.4,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:31,4.60,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.38,0.38,CAUTION_WARNING,0.00,,13.70,14.80,504,2.01,65.3,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:32,5.61,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.79,1.06,0.34,0.38,CAUTION_WARNING,0.00,,8.00,14.80,504,3.02,64.8,1,0,0.00,0.00,0.00,0.79,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:33,6.62,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.38,0.38,CAUTION_WARNING,0.00,,11.40,14.70,504,4.03,66.4,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:34,7.64,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.34,0.38,CAUTION_WARNING,0.00,,16.00,14.70,504,5.04,67.0,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:35,8.65,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.40,0.38,CAUTION_WARNING,0.00,,15.20,14.70,504,6.06,65.3,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:36,9.65,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.33,0.38,CAUTION_WARNING,0.00,,22.80,14.80,504,7.06,67.0,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:37,10.65,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.37,0.38,CAUTION_WARNING,0.00,,23.50,14.90,504,8.06,65.9,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:16:38,11.66,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.78,1.06,0.41,0.38,CAUTION_WARNING,0.00,,19.50,14.90,504,9.07,67.5,1,0,0.00,0.00,0.00,0.78,0.00,0.00,0,0,0.00,0,0.00
