Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-04-10 19:46:17,2.28,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.48,CAUTION_WARNING,0.00,,21.90,9.40,504,2.28,59.3,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:46:18,3.30,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.49,CAUTION_WARNING,0.00,,10.70,9.40,504,3.30,57.1,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:46:19,4.30,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.48,CAUTION_WARNING,0.00,,10.30,9.40,504,4.30,58.7,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:46:20,5.31,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.48,CAUTION_WARNING,0.00,,9.30,9.30,504,5.31,57.1,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:46:21,6.33,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.48,CAUTION_WARNING,0.00,,10.20,9.30,504,6.33,57.6,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:46:21,6.60,0,0,0,0,1,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.84,0.67,0.44,0.48,CAUTION_WARNING,0.00,,6.70,9.40,504,6.60,58.2,1,0,0.00,0.00,0.00,0.84,0.00,0.00,0,0,0.00,0,0.00
