Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-05-02 12:21:39,10.05,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,12.00,0.76,0.82,0.41,^,0.00,,8.70,13.10,504,10.05,43.9,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:40,11.06,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,12.00,0.76,0.82,0.41,^,0.00,,15.10,13.10,504,11.06,43.9,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:41,12.08,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,12.00,0.76,0.82,0.41,^,0.00,,17.80,13.10,504,0.51,44.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:42,13.09,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,12.00,0.76,0.82,0.41,^,0.00,,18.90,13.00,504,0.02,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:43,14.10,0,0,1,0,0,0,0,-0.24,0,1.00,0.00,0.00,0.00,0.00,N,0.00,12.00,0.76,0.82,0.41,^,0.00,,13.00,13.00,504,1.03,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:45,15.12,0,0,1,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,D,0.00,12.00,0.76,0.82,0.41,^,0.00,,14.10,13.00,504,2.05,43.9,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:46,16.13,0,0,0,0,0,0,0,-0.32,0,1.00,0.01,0.00,0.01,0.34,D,0.00,12.00,0.76,0.82,0.41,^,0.00,,13.70,12.90,504,0.07,45.5,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:47,17.15,0,0,0,0,0,0,0,0.18,0,1.00,1.29,0.02,1.29,0.85,D,0.00,12.00,0.74,0.82,0.61,^,0.00,,14.30,12.80,504,0.00,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:48,18.16,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.15,2.63,0.36,D,0.00,2.05,1.11,1.15,0.77,^,0.00,,17.60,12.70,504,0.00,46.1,1,0,0.00,0.00,0.00,2.05,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:49,19.17,0,0,0,0,0,0,0,0.00,0,1.00,2.70,0.25,1.53,0.31,D,0.00,2.16,0.74,1.12,0.74,^,0.00,,16.90,12.70,504,0.00,44.4,1,0,0.00,0.00,0.00,2.16,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:50,20.28,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.32,1.90,0.60,D,0.00,12.00,0.73,1.11,0.75,^,0.00,,17.80,12.70,504,0.00,44.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:51,21.18,0,0,0,0,0,0,0,0.00,0,1.00,2.70,0.40,1.97,0.71,D,0.00,12.00,3.41,1.23,0.91,^,0.00,,16.80,12.70,504,0.00,43.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:52,22.19,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.48,2.56,0.54,D,0.00,12.00,12.00,1.49,1.33,^,0.00,,16.40,12.70,504,0.00,44.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:53,23.19,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.57,2.06,0.00,D,0.00,12.00,4.34,1.78,1.67,^,0.00,,16.70,12.80,504,0.00,44.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:54,24.20,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.61,1.19,0.00,D,0.00,12.00,12.00,2.37,1.87,^,0.00,,15.50,12.80,504,0.00,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:55,25.21,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.62,0.44,0.00,D,0.00,12.00,12.00,2.62,2.01,^,0.00,,13.70,12.70,504,0.00,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:56,26.22,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.60,0.00,0.00,D,0.00,12.00,12.00,2.58,2.02,^,0.00,,15.10,12.70,504,0.53,45.5,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:21:57,27.23,0,0,0,0,0,0,0,0.00,0,0.00,2.70,0.57,0.00,0.00,D,0.00,12.00,12.00,2.58,2.02,^,0.00,,13.60,12.60,504,1.54,45.0,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
