Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-04-02 15:40:37,5.36,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.47,0.30,0.39,1.12,STOP_WARNING,0.00,,26.40,16.50,504,5.36,60.4,1,0,0.00,0.00,0.00,0.47,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:38,6.36,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.47,0.30,0.41,0.37,STOP_WARNING,0.00,,43.60,16.30,504,6.36,59.3,1,1,0.00,0.00,0.00,0.47,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:39,7.37,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.47,0.30,0.41,0.96,STOP_WARNING,0.00,,48.80,17.00,504,7.37,62.0,1,1,0.00,0.00,0.00,0.47,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:40,8.38,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.47,0.30,0.41,1.03,STOP_WARNING,0.00,,44.70,16.80,504,8.38,61.5,1,1,0.00,0.00,0.00,0.47,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:41,9.38,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.47,0.30,0.40,1.01,STOP_WARNING,0.00,,48.70,16.90,504,9.38,62.0,1,1,0.00,0.00,0.00,0.47,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:42,10.39,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.48,0.29,0.40,0.46,STOP_WARNING,0.00,,45.60,17.10,504,10.39,61.5,1,1,0.00,0.00,0.00,0.48,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:43,11.40,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.50,0.30,0.40,1.12,CAUTION_WARNING,0.00,,49.40,16.90,504,11.40,64.2,1,0,0.00,0.00,0.00,0.50,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:44,12.41,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.49,0.30,0.39,1.12,STOP_WARNING,0.00,,46.80,16.60,504,12.41,64.2,1,0,0.00,0.00,0.00,0.49,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:45,13.43,0,0,1,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,N,0.00,0.49,0.29,0.40,1.12,STOP_WARNING,0.00,,47.80,16.50,504,13.43,64.2,1,0,0.00,0.00,0.00,0.49,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:46,14.43,0,0,1,0,0,0,0,0.00,0,1.00,0.05,0.00,0.05,0.30,D,0.00,0.49,0.30,0.41,1.12,STOP_WARNING,0.00,,54.70,16.40,504,0.11,63.7,1,0,0.00,0.00,0.00,0.49,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:47,15.44,0,0,0,0,0,0,0,0.51,1,0.54,0.06,0.00,0.00,0.00,D,0.00,0.49,0.30,0.40,1.12,STOP_WARNING,0.00,,58.60,16.20,504,0.42,64.2,1,0,0.00,0.00,0.00,0.49,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:48,16.44,0,0,0,0,0,0,0,0.00,1,0.96,0.06,0.00,0.00,0.00,D,0.00,0.50,0.30,0.39,1.12,STOP_WARNING,0.00,,57.80,16.90,504,1.42,64.8,1,0,0.00,0.00,0.00,0.50,0.00,0.00,0,0,0.00,0,0.00
2026-04-02 15:40:49,17.44,0,0,0,0,0,0,0,0.00,1,1.00,0.06,0.00,0.00,0.00,D,0.00,0.49,0.29,0.40,1.12,STOP_WARNING,0.00,,48.00,16.80,504,2.42,65.3,1,0,0.00,0.00,0.00,0.49,0.00,0.00,0,0,0.00,0,0.00
