Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-04-25 14:46:37,3.81,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.96,0.97,1.13,0.61,WARN_WARNING,0.00,,21.40,12.40,504,3.81,43.3,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:38,4.83,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.96,0.97,1.13,0.43,WARN_WARNING,0.00,,12.60,12.40,504,4.83,43.9,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:39,5.84,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.96,0.97,1.13,0.56,WARN_WARNING,0.00,,13.00,12.60,504,5.84,42.8,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:40,6.85,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.96,0.97,1.13,0.60,WARN_WARNING,0.00,,11.90,12.50,504,6.85,44.4,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:41,7.87,0,0,1,0,0,0,0,-0.96,0,0.00,0.00,0.00,0.00,-0.00,R,0.00,0.96,0.97,1.13,0.60,WARN_WARNING,0.00,,13.30,12.50,504,7.87,44.4,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:42,8.88,0,0,0,0,0,0,0,-0.99,0,1.00,0.13,0.00,0.13,-0.51,R,0.00,0.97,0.97,1.13,0.60,WARN_WARNING,0.00,,13.40,12.40,504,0.00,45.0,1,0,0.00,0.00,0.00,0.97,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:43,9.89,0,0,0,0,0,0,0,-0.99,0,0.00,0.90,0.07,0.81,-0.09,R,0.00,1.39,1.31,0.85,0.47,^,0.00,,15.00,12.40,504,0.00,44.4,1,0,0.00,0.00,0.00,1.39,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:44,10.89,0,0,1,0,0,0,0,1.00,0,1.00,0.90,0.09,0.00,0.08,D,0.00,0.95,1.42,0.94,0.34,WARN_WARNING,0.00,,15.60,12.40,504,0.28,44.4,1,0,0.00,0.00,0.00,0.95,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:45,11.90,0,0,0,0,0,0,0,1.00,0,1.00,0.90,0.09,0.16,0.59,D,0.00,0.94,1.42,0.94,0.35,WARN_WARNING,0.00,,13.70,12.40,504,0.00,46.1,0,0,0.00,0.00,0.00,0.94,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:46,12.91,0,0,0,1,0,0,0,-1.00,0,1.00,1.55,0.15,1.00,-0.12,R,0.00,0.60,1.41,0.93,0.55,STOP_WARNING,0.00,,14.40,12.40,504,0.00,46.6,0,0,0.00,0.00,0.00,0.60,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:47,13.93,0,0,0,0,0,0,0,-1.00,0,0.12,1.55,0.16,0.20,-0.56,R,0.00,0.53,1.39,0.70,0.65,STOP_WARNING,0.00,,14.40,12.40,504,0.00,45.5,0,0,0.00,0.00,0.00,0.53,0.00,0.00,0,0,0.00,0
2026-04-25 14:46:48,14.94,0,0,1,0,0,0,0,1.00,0,1.00,1.55,0.16,0.00,0.06,D,0.00,0.64,0.79,1.03,0.53,WARN_WARNING,0.00,,14.80,12.30,504,0.45,45.5,0,0,0.00,0.00,0.00,0.64,0.00,0.00,0,0,0.00,0
