Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-05-02 12:26:46,3.87,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.52,12.00,0.51,1.83,STOP_WARNING,0.00,aeb_stop,21.70,12.60,504,3.87,49.9,1,1,0.00,0.00,0.00,0.52,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:47,4.89,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.51,12.00,0.51,1.83,STOP_WARNING,0.00,aeb_stop,11.50,12.60,504,4.89,49.9,1,1,0.00,0.00,0.00,0.51,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:48,5.90,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.51,12.00,0.51,1.82,STOP_WARNING,0.00,aeb_stop,12.30,12.60,504,5.90,49.9,1,1,0.00,0.00,0.00,0.51,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:49,6.91,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.52,12.00,0.51,1.83,STOP_WARNING,0.00,aeb_stop,12.30,12.60,504,6.91,48.8,1,1,0.00,0.00,0.00,0.52,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:50,7.93,0,0,1,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,-0.00,R,0.00,0.52,12.00,0.51,1.83,STOP_WARNING,0.00,,12.50,12.60,504,7.93,49.4,1,0,0.00,0.00,0.00,0.52,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:51,8.94,0,0,0,0,0,0,0,0.00,0,1.00,0.01,0.00,0.01,-0.37,R,0.00,0.51,12.00,0.51,1.83,STOP_WARNING,0.00,,15.60,12.60,504,0.04,48.8,1,0,0.00,0.00,0.00,0.51,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:52,9.95,0,0,0,0,0,0,0,0.00,0,1.00,1.28,0.04,1.28,-0.57,R,0.00,3.33,12.00,0.64,1.75,^,0.00,,17.20,12.50,504,0.00,48.8,1,0,0.00,0.00,0.00,3.33,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:53,10.97,0,0,0,0,0,0,0,0.00,0,0.00,2.02,0.20,1.94,-0.07,R,0.00,1.40,1.75,1.58,4.88,^,0.00,,16.20,12.50,504,0.00,48.8,1,0,0.00,0.00,0.00,1.40,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:54,11.98,0,0,0,0,0,0,0,0.00,0,1.00,2.02,0.32,1.38,-0.29,R,0.00,2.06,1.99,12.00,12.00,^,0.00,,16.40,12.60,504,0.00,47.7,1,0,0.00,0.00,0.00,2.06,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:55,13.00,0,0,0,0,0,0,0,0.00,0,1.00,2.02,0.40,1.35,-0.43,R,0.00,2.60,2.34,12.00,12.00,^,0.00,,18.10,12.60,504,0.00,47.2,1,0,0.00,0.00,0.00,2.60,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:56,14.01,0,0,0,0,0,0,0,0.00,0,0.64,2.20,0.50,2.20,-0.47,R,0.00,3.34,12.00,12.00,12.00,^,0.00,,14.90,12.60,504,0.00,48.3,1,0,0.00,0.00,0.00,3.34,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:57,15.01,0,0,0,0,0,0,0,0.00,0,0.00,2.67,0.63,2.56,-0.24,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,17.20,12.60,504,0.00,48.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:58,16.13,0,0,0,0,0,0,0,-1.00,0,1.00,2.67,0.72,1.69,-0.18,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,15.40,12.60,504,0.00,47.2,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:26:59,17.03,0,0,0,0,0,0,0,0.00,0,1.00,2.67,0.77,1.59,-0.69,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,16.30,12.50,504,0.00,47.2,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:00,18.05,0,0,0,0,0,0,0,0.48,0,1.00,3.76,0.87,3.76,-1.00,R,0.00,12.00,12.00,12.00,2.33,^,0.00,,16.50,12.50,504,0.00,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:01,19.06,0,0,0,0,0,0,0,0.00,1,0.00,4.16,1.00,1.10,0.00,R,0.00,12.00,1.98,12.00,12.00,^,0.00,,14.90,12.50,504,0.00,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:02,20.06,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.96,0.00,-0.00,R,0.00,12.00,1.98,12.00,12.00,^,0.00,,12.20,12.40,504,0.75,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:03,21.08,0,0,0,0,0,0,0,0.00,1,0.00,4.16,0.91,0.00,0.00,R,0.00,12.00,2.19,12.00,12.00,^,0.00,,12.60,12.40,504,1.77,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:04,22.08,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.87,0.00,-0.00,R,0.00,12.00,2.31,12.00,12.00,^,0.00,,12.80,12.40,504,2.78,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:05,23.10,0,0,0,0,0,0,0,0.00,1,0.00,4.16,0.83,0.00,0.00,R,0.00,12.00,2.29,12.00,12.00,^,0.00,,12.70,12.40,504,3.79,47.7,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:06,24.10,0,0,0,0,0,0,0,0.00,1,0.00,4.16,0.80,0.00,0.00,R,0.00,12.00,2.33,12.00,12.00,^,0.00,,14.00,12.60,504,4.79,48.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:07,25.11,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.77,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.70,12.70,504,5.81,48.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:08,26.12,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.74,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,11.20,12.80,504,6.82,48.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:09,27.12,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.71,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,11.70,12.70,504,7.82,49.9,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:10,28.14,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.68,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,12.90,12.90,504,8.83,50.5,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:11,29.16,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.66,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,14.10,12.80,504,9.85,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:12,30.27,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.64,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,14.00,12.70,504,10.96,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:13,31.17,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.62,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.90,12.70,504,11.86,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:14,32.18,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.60,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.80,12.50,504,12.88,47.7,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:15,33.19,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.58,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.50,12.50,504,13.89,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:16,34.21,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.56,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.70,12.60,504,14.90,49.4,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:17,35.22,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.55,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,14.20,12.40,504,15.91,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:18,36.23,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.53,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.50,12.30,504,16.92,48.8,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:19,37.24,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.52,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.70,12.20,504,17.94,47.2,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
2026-05-02 12:27:20,38.35,0,0,0,0,0,0,0,0.00,0,0.00,4.16,0.50,0.00,-0.00,R,0.00,12.00,12.00,12.00,12.00,^,0.00,,13.60,12.30,504,19.05,48.3,1,0,0.00,0.00,0.00,12.00,0.00,0.00,0,0,0.00,0
