Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-04-10 19:57:38,2.30,0,0,0,1,0,0,0,-1.00,1,1.00,0.00,0.00,0.00,0.00,P,0.00,0.95,1.62,0.36,0.35,CAUTION_WARNING,0.00,,22.00,9.30,504,2.30,57.1,1,0,0.00,0.00,0.00,0.95,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:39,3.31,0,0,0,0,0,0,0,-1.00,1,1.00,0.00,0.00,0.00,0.00,P,0.00,0.95,1.61,0.36,0.35,CAUTION_WARNING,0.00,,8.00,9.30,504,3.31,56.5,1,0,0.00,0.00,0.00,0.95,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:40,4.32,0,0,0,1,0,0,0,-1.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.94,1.61,0.36,0.35,CAUTION_WARNING,0.00,,11.30,9.40,504,4.32,57.1,1,0,0.00,0.00,0.00,0.94,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:41,5.33,0,0,1,0,0,0,0,-1.00,0,1.00,0.01,0.00,0.01,-0.36,R,0.00,0.96,1.62,0.35,0.35,CAUTION_WARNING,0.00,,11.60,9.30,504,0.01,56.5,1,0,0.00,0.00,0.00,0.96,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:42,6.33,0,0,0,0,0,0,0,-1.00,0,0.37,1.19,0.05,1.19,-0.73,R,0.00,1.04,1.51,0.37,0.60,^,0.00,,10.70,9.30,504,0.00,58.2,1,0,0.00,0.00,0.00,1.04,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:43,7.35,0,0,1,0,0,0,0,1.00,0,0.84,1.57,0.23,0.85,0.01,D,0.00,0.70,1.21,0.91,0.20,CAUTION_WARNING,0.00,,16.30,9.30,504,0.00,57.6,1,0,0.00,0.00,0.00,0.70,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:44,8.36,0,0,0,0,0,0,0,1.00,0,1.00,1.57,0.23,0.17,0.51,D,0.00,0.73,1.22,1.08,0.15,CAUTION_WARNING,0.00,,10.50,9.30,504,0.00,58.2,1,0,0.00,0.00,0.00,0.73,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:45,9.37,0,0,0,0,0,0,0,1.00,0,0.00,1.57,0.28,1.02,0.38,D,0.00,0.62,1.13,0.65,0.50,CAUTION_WARNING,0.00,,15.50,9.30,504,0.00,59.3,1,0,0.00,0.00,0.00,0.62,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:46,10.39,0,0,0,1,0,0,0,-1.00,1,1.00,1.57,0.32,0.27,0.00,P,0.00,0.29,12.00,0.37,0.78,STOP_WARNING,0.00,,15.60,9.30,504,0.02,58.7,1,0,0.00,0.00,0.00,0.29,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:47,11.40,0,0,0,0,0,0,0,-1.00,1,0.82,1.57,0.30,0.00,0.00,P,0.00,0.28,12.00,0.32,0.79,STOP_WARNING,0.00,,9.20,9.30,504,0.99,57.1,1,1,0.00,0.00,0.00,0.28,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:48,12.42,0,0,0,0,0,0,0,-1.00,1,0.00,1.57,0.27,0.00,0.00,P,0.00,0.28,12.00,0.32,0.79,STOP_WARNING,0.00,,14.30,9.20,504,2.00,57.6,1,1,0.00,0.00,0.00,0.28,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:49,13.43,0,0,1,0,0,0,0,-1.00,0,1.00,1.57,0.25,0.02,-0.40,R,0.00,0.28,12.00,0.32,0.79,STOP_WARNING,0.00,,13.30,9.30,504,0.01,58.2,1,1,0.00,0.00,0.00,0.28,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:50,14.43,0,0,1,0,0,0,0,1.00,1,0.00,1.57,0.26,1.06,0.00,N,0.00,0.46,0.30,0.80,0.62,STOP_WARNING,0.00,,13.50,9.30,504,0.00,58.2,1,1,0.00,0.00,0.00,0.46,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:57:51,15.44,0,0,1,0,0,0,0,1.00,1,1.00,1.57,0.26,0.00,0.00,D,0.00,0.54,0.55,0.71,0.54,CAUTION_WARNING,0.00,,11.10,9.30,504,0.63,58.2,1,0,0.00,0.00,0.00,0.54,0.00,0.00,0,0,0.00,0,0.00
