Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-04-29 18:27:24,10.01,0,0,1,0,0,0,0,0.72,0,1.00,0.00,0.00,0.00,0.17,D,0.00,0.94,0.47,0.62,0.49,WARN_WARNING,0.00,,10.40,13.50,504,10.01,46.1,1,0,0.00,0.00,0.00,0.94,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:25,11.12,0,0,0,0,0,0,0,0.00,0,1.00,0.60,0.01,0.60,0.67,D,0.00,0.83,0.46,0.60,0.48,WARN_WARNING,0.00,,24.90,13.50,504,0.00,46.1,1,0,0.00,0.00,0.00,0.83,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:26,12.03,0,0,0,0,0,0,0,-0.11,1,0.00,2.38,0.14,0.85,0.00,D,0.00,0.38,0.81,0.35,0.66,STOP_WARNING,0.00,aeb_stop,25.10,13.50,504,0.01,46.1,1,1,0.00,0.00,0.00,0.38,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:27,13.04,0,0,0,1,0,0,0,1.00,0,1.00,2.38,0.13,0.00,-0.17,R,0.00,0.37,0.81,0.34,0.67,STOP_WARNING,0.00,,26.30,13.40,504,0.87,46.6,1,0,0.00,0.00,0.00,0.37,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:28,14.05,0,0,0,0,0,0,0,0.32,0,0.14,2.38,0.13,0.40,-0.64,R,0.00,0.43,0.76,0.37,0.65,STOP_WARNING,0.00,,25.50,13.40,504,0.00,46.1,1,0,0.00,0.00,0.00,0.43,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:29,15.06,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.19,1.15,-0.38,R,0.00,1.25,0.54,0.57,0.58,^,0.00,,24.90,13.30,504,0.00,46.6,1,0,0.00,0.00,0.00,1.25,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:30,16.08,0,0,1,0,0,0,0,0.29,0,0.40,2.38,0.20,0.02,0.14,D,0.00,0.90,0.59,0.67,0.38,WARN_WARNING,0.00,,25.30,13.30,504,0.19,46.1,1,0,0.00,0.00,0.00,0.90,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:31,17.09,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.20,0.54,0.40,D,0.00,0.79,0.57,0.64,0.29,WARN_WARNING,0.00,,23.40,13.20,504,0.00,46.6,1,0,0.00,0.00,0.00,0.79,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:32,18.10,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.21,0.00,0.00,D,0.00,0.67,0.56,0.55,0.33,WARN_WARNING,0.00,,22.90,13.20,504,0.36,46.6,1,0,0.00,0.00,0.00,0.67,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:33,19.11,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.20,0.00,0.00,D,0.00,0.67,0.56,0.21,0.19,WARN_WARNING,0.00,,23.30,13.10,504,0.02,48.3,1,0,0.00,0.00,0.00,0.67,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:34,20.13,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.19,0.00,0.00,D,0.00,0.69,0.56,0.18,0.18,WARN_WARNING,0.00,,24.90,13.00,504,0.27,47.7,1,0,0.00,0.00,0.00,0.69,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:35,21.14,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.18,0.00,0.00,D,0.00,0.69,0.56,0.18,0.17,WARN_WARNING,0.00,,23.40,12.90,504,0.01,46.1,1,0,0.00,0.00,0.00,0.69,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:36,22.15,0,0,0,0,0,0,0,0.00,0,0.00,2.38,0.17,0.00,0.00,D,0.00,0.68,0.56,0.20,0.18,WARN_WARNING,0.00,,25.10,12.90,504,0.10,46.6,1,0,0.00,0.00,0.00,0.68,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:37,23.17,0,0,0,0,0,0,0,0.00,0,0.14,2.38,0.16,0.04,0.25,D,0.00,0.69,0.56,0.20,0.18,WARN_WARNING,0.00,,24.30,12.90,504,0.00,47.7,1,0,0.00,0.00,0.00,0.69,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:38,24.18,0,0,0,0,0,0,0,0.00,0,1.00,2.38,0.16,0.18,0.23,D,0.00,0.66,0.57,0.54,0.19,WARN_WARNING,0.00,,24.90,12.80,504,0.00,46.1,1,0,0.00,0.00,0.00,0.66,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:39,25.19,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.17,0.83,0.00,D,0.00,0.58,0.61,0.46,0.29,STOP_WARNING,0.00,aeb_stop,23.50,12.70,504,0.00,47.7,1,1,0.00,0.00,0.00,0.58,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:40,26.21,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.17,0.00,0.00,D,0.00,0.53,0.64,0.43,0.31,STOP_WARNING,0.00,aeb_stop,25.20,12.70,504,0.69,47.2,1,1,0.00,0.00,0.00,0.53,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:41,27.22,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.16,0.00,0.00,D,0.00,0.53,0.64,0.43,0.19,STOP_WARNING,0.00,aeb_stop,24.20,12.80,504,1.70,46.6,1,1,0.00,0.00,0.00,0.53,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:42,28.22,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.16,0.00,0.00,D,0.00,0.54,0.64,0.43,0.20,STOP_WARNING,0.00,aeb_stop,24.40,12.80,504,0.03,46.6,1,1,0.00,0.00,0.00,0.54,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:43,29.23,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.15,0.00,0.00,D,0.00,0.56,0.63,0.21,0.19,STOP_WARNING,0.00,aeb_stop,24.50,12.80,504,0.02,48.3,1,1,0.00,0.00,0.00,0.56,0.00,0.00,0,0,0.00,0
2026-04-29 18:27:44,30.24,0,0,0,0,0,0,0,0.00,1,0.00,2.38,0.15,0.00,0.00,D,0.00,0.56,0.64,0.22,0.19,STOP_WARNING,0.00,aeb_stop,24.60,13.10,504,0.07,47.2,1,1,0.00,0.00,0.00,0.56,0.00,0.00,0,0,0.00,0
