Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-04-10 19:17:46,2.16,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.04,0.49,0.25,^,0.00,,20.00,9.90,504,2.16,41.1,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:47,3.17,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.05,0.49,0.25,^,0.00,,9.90,9.90,504,3.17,41.1,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:48,4.18,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.05,0.49,0.25,^,0.00,,10.10,9.90,504,4.18,40.0,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:49,5.19,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.04,0.49,0.26,^,0.00,,18.20,9.90,504,5.19,41.1,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:50,6.20,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.05,0.49,0.26,^,0.00,,9.30,9.90,504,6.20,41.1,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:51,7.22,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.04,0.49,0.25,^,0.00,,16.60,9.90,504,7.22,40.6,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:52,8.23,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.05,0.49,0.25,^,0.00,,15.00,9.90,504,8.23,40.6,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:53,9.24,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.04,0.49,0.25,^,0.00,,14.00,9.80,504,9.24,41.1,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:54,10.25,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.05,0.49,0.26,^,0.00,,13.00,9.80,504,10.25,41.7,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:55,11.27,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.04,0.49,0.25,^,0.00,,10.90,9.80,504,11.27,41.1,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:56,12.28,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.04,0.49,0.26,^,0.00,,15.10,9.70,504,12.28,41.7,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:57,13.29,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.07,1.05,0.49,0.25,^,0.00,,17.70,9.70,504,13.29,42.2,1,0,0.00,0.00,0.00,1.07,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:58,14.29,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.05,0.49,0.25,^,0.00,,9.80,9.70,504,14.29,41.1,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
2026-04-10 19:17:58,14.58,0,0,0,0,1,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.08,1.05,0.49,0.25,^,0.00,,13.80,9.60,504,14.58,42.2,1,0,0.00,0.00,0.00,1.08,0.00,0.00,0,0,0.00,0,0.00
