Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected,Front Ultrasonic Distance (cm)
2026-03-28 17:38:43,2.94,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.33,0.39,CAUTION_WARNING,0.00,,13.90,10.40,504,2.94,56.0,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:44,3.96,0,0,0,0,0,0,0,0.60,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.34,0.39,CAUTION_WARNING,0.00,,11.10,10.40,504,3.96,56.5,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:45,4.97,0,0,0,0,0,0,0,-1.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.37,0.39,CAUTION_WARNING,0.00,,18.90,10.50,504,4.97,54.9,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:46,5.98,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.41,0.39,CAUTION_WARNING,0.00,,10.50,10.40,504,5.98,56.0,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:47,6.99,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.41,0.39,CAUTION_WARNING,0.00,,7.20,10.40,504,6.99,54.3,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:48,8.01,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.85,1.05,0.33,0.39,CAUTION_WARNING,0.00,,5.90,10.30,504,8.01,55.4,1,0,0.00,0.00,0.00,0.85,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:49,9.02,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.35,0.39,CAUTION_WARNING,0.00,,4.90,10.30,504,9.02,55.4,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:50,10.03,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.86,1.05,0.31,0.39,CAUTION_WARNING,0.00,,6.10,10.20,504,10.03,54.3,1,0,0.00,0.00,0.00,0.86,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:51,11.04,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.85,1.05,0.36,0.37,CAUTION_WARNING,0.00,,6.90,10.10,504,11.04,54.3,1,0,0.00,0.00,0.00,0.85,0.00,0.00,0,0,0.00,0,0.00
2026-03-28 17:38:52,12.05,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,0.87,1.05,0.35,0.39,CAUTION_WARNING,0.00,,7.60,10.10,504,12.05,55.4,1,0,0.00,0.00,0.00,0.87,0.00,0.00,0,0,0.00,0,0.00
