Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-05-06 19:48:33,10.88,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.45,^,0.00,,23.60,13.30,504,10.88,45.5,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:34,11.90,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.46,^,0.00,,40.10,13.30,504,0.87,45.5,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:35,12.90,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.44,^,0.00,,40.00,13.30,504,1.87,46.6,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:36,13.92,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.49,^,0.00,,39.80,13.30,504,0.47,47.7,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:37,14.93,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.70,^,0.00,,41.20,13.20,504,1.47,48.8,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:38,15.93,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.66,^,0.00,,40.30,13.20,504,2.48,49.9,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:39,16.95,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.68,^,0.00,,41.00,13.20,504,3.49,49.9,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:40,17.96,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.67,^,0.00,,42.30,13.10,504,4.51,48.8,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:41,18.99,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.67,^,0.00,,40.90,13.10,504,5.53,49.4,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
2026-05-06 19:48:42,19.99,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,2.36,2.68,1.79,0.67,^,0.00,,40.10,13.10,504,0.80,51.0,1,0,0.00,0.00,0.00,2.36,0.00,0.00,0,0,0.00,0
