Current Time,Time Since Program Started (s),Autonomous Mode (On/Off),Cruise Control (Active/Inactive),Shift Up PRND (Event),Shift Down PRND (Event),Quit (Event),Increase CC (Event),Decrease CC (Event),Steer (Value),Brake (On/Off),Gas (Value),Maximum Speed Recall (MPH),Average Speed (MPH),Current Speed (MPH),Motor PWM Value,Gear Mode,Cruise Control Target Speed (MPH),LiDAR Front Distance (m),LiDAR Left Distance (m),LiDAR Right Distance (m),LiDAR Back Distance (m),LiDAR Determined Direction,Target Heading (deg),Stop Reason,CPU Usage (%),Memory Usage (%),Number of LiDAR Points in Scan,Time Since Last Hall Sensor Pulse (s),CPU Temp (C),AEB Enabled (On/Off),AEB Triggered (On/Off),PID Output (Cruise Control),LiDAR Best Heading (deg),LiDAR Heading Confidence,LiDAR Forward Clearance (m),Camera Steering Bias,Camera Confidence,Camera Left Edge Found,Camera Right Edge Found,Camera Corridor Width (px),Driveway Cut Suspected
2026-04-22 21:44:09,3.99,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,1.55,0.59,^,0.00,,27.80,14.30,504,3.99,63.7,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:10,5.00,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,1.71,0.59,^,0.00,,44.50,14.50,504,5.00,65.3,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:11,6.01,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,1.38,0.59,^,0.00,,44.40,14.80,504,6.01,64.2,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:12,7.02,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.75,0.59,^,0.00,,45.20,15.00,504,7.02,65.3,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:13,8.04,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.84,0.59,^,0.00,,43.60,15.10,504,8.04,66.4,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:14,9.05,0,0,0,0,0,0,0,1.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.28,0.60,^,0.00,,46.40,14.40,504,0.79,65.9,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:15,10.06,0,0,0,0,0,0,0,-0.99,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.32,0.60,^,0.00,,45.70,14.30,504,0.11,65.9,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:16,11.07,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.37,0.60,^,0.00,,46.30,14.30,504,0.32,68.1,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:17,12.08,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.39,0.59,^,0.00,,45.50,14.20,504,1.33,68.1,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:18,13.10,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.38,0.59,^,0.00,,46.20,14.20,504,0.43,68.1,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:19,14.11,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.39,0.59,^,0.00,,43.40,14.20,504,0.23,68.6,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:20,15.12,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.37,0.60,^,0.00,,46.20,15.00,504,1.24,69.2,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:21,16.13,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.39,0.59,^,0.00,,43.40,15.50,504,2.26,70.3,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
2026-04-22 21:44:22,17.14,0,0,0,0,0,0,0,0.00,1,0.00,0.00,0.00,0.00,0.00,P,0.00,1.26,0.60,0.39,0.60,^,0.00,,44.60,15.80,504,0.27,67.0,1,0,0.00,0.00,0.00,1.26,0.00,0.00,0,0,0.00,0
